id;id fecha dato;fecha;Periodo;ha (ese dia)
1;1;1/6/2025;antes;0,00032527
2;2;2/6/2025;antes;0,00032527
3;3;3/6/2025;antes;0,000325479
4;4;4/6/2025;antes;0,000325689
5;5;5/6/2025;antes;0,000324641
6;6;6/6/2025;antes;0,000325479
7;7;7/6/2025;antes;0,00032527
8;8;8/6/2025;antes;0,000326108
9;9;9/6/2025;antes;0,00032485
10;10;10/6/2025;antes;0,000325689
11;11;11/6/2025;antes;0,00032485
12;12;12/6/2025;antes;0,000325479
13;13;13/6/2025;antes;0,000325899
14;14;14/6/2025;antes;0,00032506
15;15;15/6/2025;antes;0,000326108
16;16;16/6/2025;despues;0,00032485
17;17;17/6/2025;despues;0,000325689
18;18;18/6/2025;despues;0,00032506
19;19;19/6/2025;despues;0,00032485
20;20;20/6/2025;despues;0,000325479
21;21;21/6/2025;despues;0,00032485
22;22;22/6/2025;despues;0,000325479
23;23;23/6/2025;despues;0,00032506
24;24;24/6/2025;despues;0,000324641
25;25;25/6/2025;despues;0,000324641
26;26;26/6/2025;despues;0,00032506
27;27;27/6/2025;despues;0,00032506
28;28;28/6/2025;despues;0,00032485
29;29;29/6/2025;despues;0,00032485
30;30;30/6/2025;despues;0,000325479
